Hvězdonice	-720898.600255	-1070473.77451
Chocerady	-717560.95189	-1070617.48578
Chotýšany	-719793.14698	-1085822.78508
Kozmice	-720379.62191	-1075728.06985
Krhanice	-736452.325448	-1068782.33789
Krňany	-743531.310677	-1070342.39258
Křečovice	-744516.343543	-1083119.98218
Lešany	-739542.314717	-1071018.44986
Libež	-712711.537641	-1084105.62523
Maršovice	-737867.861236	-1084724.38818
Mrač	-727469.376006	-1074377.37911
Hněvnice	-842397.566501	-1068254.21311
Bílov	-814694.063108	-1039953.96158
Potvorov	-816920.426249	-1040742.67168
Nespeky	-730213.09559	-1070620.98742
Sedlec	-814339.248534	-1042360.09872
Vysoká Libyně	-810957.934367	-1039901.27867
Netvořice	-740236.743272	-1074562.21339
Neveklov	-741044.788392	-1079460.06353
Čerňovice	-840342.529544	-1059641.29169
Pláně	-822562.538827	-1046881.77996
Ostředek	-717344.314073	-1074692.18493
Kařízek	-791885.015842	-1067040.95624
Drahoňův Újezd	-797062.486252	-1060957.56447
Petroupim	-722934.961782	-1076547.87916
Poříčí nad Sázavou	-729270.655556	-1072566.74371
Postupice	-723867.742516	-1086341.04058
Přestavlky u Čerčan	-723325.058342	-1071662.71097
Miřejovice	-758084.859211	-988216.271657
Psáře	-709270.428928	-1084768.62067
Rabyně	-745297.911716	-1075000.0519
Radošovice	-716067.365256	-1085081.67883
Kozly	-781836.761438	-995766.0618
Želkovice	-775555.901209	-996487.271359
Čeradice	-805866.124438	-1009587.72209
Libočany	-803963.850897	-1006573.03923
Zálužice	-795993.784571	-1008736.76758
Přestanov	-769272.79403	-971665.160303
Soběhrdy	-725001.548718	-1074874.32422
Pšánky	-654791.290404	-1031191.95159
Struhařov	-722923.621208	-1081801.22155
Úherčice	-655891.797034	-1073429.47238
Staré Hrady	-682629.105531	-1017329.59492
Bílkovice	-717071.937718	-1083007.65877
Tehov	-710040.476847	-1086689.30023
Teplýšovice	-720172.367789	-1078645.80411
Tichonice	-706982.879478	-1083163.68186
Trnávka	-670220.260351	-1058178.0942
Trhový Štěpánov	-705370.865437	-1089191.69836
Brambory	-670144.756108	-1064723.38274
Týnec nad Sázavou	-734106.567538	-1072346.10558
Semtěš	-667076.753994	-1067524.28079
Starkoč	-667817.458241	-1069625.0177
Vranov	-721459.493957	-1072494.47809
Štipoklasy	-690162.208273	-1079362.48684
Opatovice I	-687843.345993	-1076776.44233
Bludov	-687728.31881	-1081852.46685
Třebětín	-687009.97477	-1085085.22571
Třebešice	-679542.833575	-1069167.00415
Močovice	-679422.978995	-1071599.77958
Vodranty	-680819.736661	-1072973.53602
Beroun	-769197.624985	-1052603.09065
Souňov	-682111.394086	-1073983.70429
Běštín	-775710.507176	-1070543.63802
Broumy	-785057.640612	-1053257.41728
